Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"Chambersburg, PA Micro Area",67597,2706,6662,12226,13627,8173,3631,7585,1250,2027,4716,3180,1814,2012
"Champaign-Urbana, IL Metro Area",110505,3726,17942,27300,23609,14465,6063,6896,1393,2081,3364,1419,2247,2012
"Charleston, WV Metro Area",121734,4280,13287,18259,21382,20780,7742,13471,2973,4536,7951,4322,2751,2012
"Charleston-Mattoon, IL Micro Area",27414,1983,6536,5609,3717,3143,723,2351,137,885,816,895,619,2012
"Charleston-North Charleston-Summerville, SC Metro Area",311947,4336,26291,43700,53555,54022,25813,47580,9073,10064,25016,7433,5064,2012
"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",804105,18018,65195,104060,128089,132426,59635,126102,29735,31850,63717,29241,16037,2012
"Charlottesville, VA Metro Area",89092,1365,6559,13610,16669,15731,6726,12619,3060,2824,4561,3690,1678,2012
"Chattanooga, TN-GA Metro Area",226927,8187,17902,33238,37883,40768,17674,34811,7211,6124,15003,4618,3508,2012
"Cheyenne, WY Metro Area",43986,2069,9025,12171,10366,4925,778,2152,0,258,1214,540,488,2012
"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",4227545,76833,312163,475151,482309,545763,252646,665708,147663,235465,490689,411944,131211,2012
"Chico, CA Metro Area",77731,4429,16225,18009,11234,6340,4837,7679,1197,1235,3238,1932,1376,2012
"Chillicothe, OH Micro Area",28352,854,3159,3531,6071,4470,1573,3233,221,735,892,2204,1409,2012
"Cincinnati-Middletown, OH-KY-IN Metro Area",970037,23638,88855,136411,145096,167358,77441,144746,31013,42755,66642,32446,13636,2012
"Clarksburg, WV Micro Area",36563,1489,4806,5497,6590,5658,2765,3498,1447,1356,2172,741,544,2012
"Clarksville, TN-KY Metro Area",121641,6816,11821,19712,21747,20530,8243,14622,3000,2519,6479,4395,1757,2012
"Clearlake, CA Micro Area",21112,494,3031,3627,2124,3018,975,813,339,932,2654,1787,1318,2012
"Cleveland, TN Metro Area",43795,987,5462,7915,8651,6000,1729,4781,1692,1178,2965,1899,536,2012
"Cleveland-Elyria-Mentor, OH Metro Area",900429,23242,78181,123280,133940,150737,75779,135066,35077,42234,60122,27761,15010,2012
"Coamo, PR Micro Area",17748,209,2006,2646,3243,1957,141,4089,244,1229,1221,638,125,2012
"Coeur d'Alene, ID Metro Area",56309,2088,8072,9444,11326,6652,4589,5707,961,1430,3740,1884,416,2012
"College Station-Bryan, TX Metro Area",103396,3699,13685,26254,23678,15731,3634,6943,1342,1493,3060,1400,2477,2012
"Colorado Springs, CO Metro Area",296522,10103,30593,48772,56749,52805,21027,36871,6344,8405,12388,8305,4160,2012
"Columbia, MO Metro Area",86549,3579,10886,19635,20710,13124,4209,6913,958,1628,3826,562,519,2012
"Columbia, SC Metro Area",350625,16790,27605,50366,59854,63052,23018,56207,10598,10630,18579,8846,5080,2012
"Columbia, TN Micro Area",33322,963,2434,4377,5187,4055,1656,4548,1203,1149,3561,3116,1073,2012
"Columbus, GA-AL Metro Area",119676,2699,12440,19031,27754,20535,7672,17118,1202,2201,4826,2317,1881,2012
"Columbus, IN Metro Area",37681,1011,5330,11884,6991,5471,1768,1787,515,414,1219,788,503,2012
"Columbus, OH Metro Area",863573,23538,84616,121429,139505,161160,75080,127215,25433,28956,44040,21113,11488,2012
"Concord, NH Micro Area",69207,1773,6990,10001,9243,10470,5511,8793,2172,3147,6199,3454,1454,2012
"Cookeville, TN Micro Area",38719,796,5358,4856,5004,6913,1331,7271,1039,906,2102,2258,885,2012
"Coos Bay, OR Micro Area",20038,1188,4775,3008,3099,3645,829,1360,346,225,901,372,290,2012
"Corning, NY Micro Area",41444,2846,6866,7020,5108,5787,2478,4734,954,985,1698,1941,1027,2012
"Corpus Christi, TX Metro Area",189034,6985,25541,32590,37974,32806,7773,19591,2542,4065,8752,6213,4202,2012
"Corvallis, OR Metro Area",36108,1205,5931,10095,7012,4252,1502,2060,526,552,2030,621,322,2012
"Crestview-Fort Walton Beach-Destin, FL Metro Area",89578,3463,9225,15815,13776,11132,5478,15488,1546,2342,7334,2628,1351,2012
"Cullman, AL Micro Area",33962,1859,3817,4984,4564,5283,1282,3381,272,386,4481,2890,763,2012
"Cumberland, MD-WV Metro Area",39794,1648,5612,6413,7325,7320,2009,4030,696,801,1598,1486,856,2012
"Dallas-Fort Worth-Arlington, TX Metro Area",3002472,58967,234799,368233,430904,433848,195108,525886,99888,131749,294281,169882,58927,2012
"Dalton, GA Metro Area",55401,1270,3281,7645,14289,11021,2350,8672,1079,980,3053,1278,483,2012
"Danville, IL Metro Area",30858,854,5275,6709,6238,3967,1137,2392,756,468,1885,616,561,2012
"Danville, VA Metro Area",43100,1033,5114,6944,8173,7326,2555,4146,1228,1032,2063,2386,1100,2012
"Daphne-Fairhope-Foley, AL Micro Area",78851,3047,8522,11835,11970,10660,3931,8016,1580,2693,8661,6031,1905,2012
"Davenport-Moline-Rock Island, IA-IL Metro Area",173634,6110,25348,35589,30622,28320,13815,16843,3731,2826,4998,3366,2066,2012
"Dayton, OH Metro Area",361573,13459,41508,62707,64084,65827,26698,39471,8129,9135,14226,10972,5357,2012
"Decatur, AL Metro Area",62029,1228,5607,9354,8904,8801,3867,9901,3272,3501,5080,1854,660,2012
"Decatur, IL Metro Area",47253,2349,6805,11473,10774,5981,2008,2500,379,634,1808,1720,822,2012
